epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.8151,1.70169,2.89778,1.71106,0.02667,0.94118,0.04053,0.01777,1.60378,3.0161,1.67728,0,0,0
2,5.55535,1.73992,3.1911,1.66076,0.02667,0.94118,0.03975,0.01703,1.60248,3.01393,1.67463,1.802e-05,1.802e-05,1.802e-05
3,8.1486,1.84666,2.98547,1.84623,0.02667,0.94118,0.03961,0.01785,1.608,2.99915,1.65759,3.208e-05,3.208e-05,3.208e-05
4,10.7177,1.5445,2.9862,1.57326,0.02667,0.94118,0.04001,0.01903,1.61931,2.99032,1.66297,4.218e-05,4.218e-05,4.218e-05
5,13.2856,1.80427,3.18889,1.60087,0.02667,0.94118,0.04005,0.01995,1.59781,2.983,1.63252,4.832e-05,4.832e-05,4.832e-05
6,16.0679,1.57475,2.81117,1.59667,0.02833,1,0.06509,0.02704,1.58943,2.97651,1.61481,5.05e-05,5.05e-05,5.05e-05
7,18.7729,1.73352,3.08501,1.54351,0.02833,1,0.06611,0.02921,1.56935,2.97289,1.61118,4.872e-05,4.872e-05,4.872e-05
8,21.4071,1.51305,2.80863,1.47849,0.02833,1,0.07234,0.02997,1.52892,2.97063,1.58123,4.298e-05,4.298e-05,4.298e-05
9,24.0695,1.47252,2.7705,1.54414,0.02833,1,0.05834,0.02801,1.53336,2.96522,1.5834,3.328e-05,3.328e-05,3.328e-05
10,26.6446,1.48153,2.7786,1.46233,0.02833,1,0.05676,0.0298,1.53093,2.96385,1.58207,1.962e-05,1.962e-05,1.962e-05
