epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.8771,2.1231,0.32796,0.82796,1.85949,0.000232711,0.000232711,0.000232711
2,33.2979,1.62938,0.52151,0.91398,1.46456,0.000455178,0.000455178,0.000455178
3,48.7505,1.27275,0.58602,0.94086,1.27615,0.000661936,0.000661936,0.000661936
4,64.1976,1.13302,0.5914,0.93548,1.24451,0.000643314,0.000643314,0.000643314
5,79.7257,0.9465,0.65591,0.96237,1.13863,0.000619752,0.000619752,0.000619752
6,95.1303,0.84586,0.66129,0.96774,1.12115,0.00059619,0.00059619,0.00059619
7,113.758,0.80067,0.66667,0.98387,1.12854,0.000572628,0.000572628,0.000572628
8,134.779,0.72777,0.6828,0.96774,1.16828,0.000549066,0.000549066,0.000549066
9,154.081,0.67389,0.65591,0.97312,1.15317,0.000525504,0.000525504,0.000525504
10,172.818,0.62766,0.65591,0.97312,1.17304,0.000501942,0.000501942,0.000501942
11,191.604,0.61177,0.65054,0.97849,1.2535,0.00047838,0.00047838,0.00047838
12,207.08,0.57861,0.63978,0.97312,1.22134,0.000454818,0.000454818,0.000454818
13,222.461,0.52806,0.65054,0.97849,1.22518,0.000431256,0.000431256,0.000431256
14,237.838,0.49376,0.62903,0.97312,1.28453,0.000407694,0.000407694,0.000407694
15,253.195,0.47108,0.66129,0.98387,1.23603,0.000384132,0.000384132,0.000384132
16,268.453,0.45351,0.66129,0.97849,1.26579,0.00036057,0.00036057,0.00036057
17,283.827,0.43689,0.67204,0.97312,1.17992,0.000337008,0.000337008,0.000337008
18,299.45,0.43009,0.64516,0.97312,1.1947,0.000313446,0.000313446,0.000313446
19,315.147,0.40736,0.65591,0.97312,1.16728,0.000289884,0.000289884,0.000289884
20,331.007,0.40663,0.66129,0.97849,1.26565,0.000266322,0.000266322,0.000266322
21,349.055,0.42396,0.66667,0.97849,1.25551,0.00024276,0.00024276,0.00024276
22,367.405,0.37741,0.68817,0.98387,1.26726,0.000219198,0.000219198,0.000219198
23,386.992,0.35941,0.67204,0.98387,1.20677,0.000195636,0.000195636,0.000195636
24,404.649,0.34859,0.65591,0.97849,1.21054,0.000172074,0.000172074,0.000172074
25,420.046,0.38201,0.66667,0.97312,1.22979,0.000148512,0.000148512,0.000148512
26,435.752,0.35297,0.67742,0.98387,1.17177,0.00012495,0.00012495,0.00012495
27,451.524,0.34041,0.67742,0.97849,1.17326,0.000101388,0.000101388,0.000101388
28,467.23,0.34989,0.66667,0.97312,1.21479,7.7826e-05,7.7826e-05,7.7826e-05
29,482.663,0.30042,0.65591,0.97312,1.23736,5.4264e-05,5.4264e-05,5.4264e-05
30,498.271,0.3385,0.65054,0.97312,1.23015,3.0702e-05,3.0702e-05,3.0702e-05
