epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.2784,1.95286,0.36879,0.91489,1.67588,0.000273328,0.000273328,0.000273328
2,52.9472,1.34877,0.56028,0.98582,1.25506,0.000540085,0.000540085,0.000540085
3,77.8325,0.99797,0.57447,0.99291,1.23668,0.000795846,0.000795846,0.000795846
4,103.595,0.85742,0.58865,0.99291,1.18427,0.00078352,0.00078352,0.00078352
5,128.805,0.80589,0.64539,0.99291,1.22462,0.000767026,0.000767026,0.000767026
6,152.838,0.67206,0.69504,1,1.02262,0.000750533,0.000750533,0.000750533
7,177.287,0.57715,0.71631,1,1.01836,0.00073404,0.00073404,0.00073404
8,201.575,0.57538,0.68794,0.99291,1.02705,0.000717546,0.000717546,0.000717546
9,226.699,0.56002,0.64539,1,1.13899,0.000701053,0.000701053,0.000701053
10,251.321,0.50844,0.65957,1,1.18328,0.000684559,0.000684559,0.000684559
11,275.842,0.4646,0.69504,0.99291,1.11285,0.000668066,0.000668066,0.000668066
12,300.105,0.43194,0.68794,1,1.24304,0.000651573,0.000651573,0.000651573
13,324.44,0.46549,0.7305,1,1.08114,0.000635079,0.000635079,0.000635079
14,349.467,0.40942,0.68794,0.99291,1.1455,0.000618586,0.000618586,0.000618586
15,374.39,0.37748,0.7234,1,1.20844,0.000602092,0.000602092,0.000602092
16,399.014,0.3601,0.69504,1,1.16335,0.000585599,0.000585599,0.000585599
17,422.89,0.36077,0.7234,1,1.21083,0.000569106,0.000569106,0.000569106
18,446.865,0.35393,0.71631,1,1.30344,0.000552612,0.000552612,0.000552612
19,470.589,0.37148,0.71631,1,1.21777,0.000536119,0.000536119,0.000536119
20,494.82,0.33606,0.69504,0.99291,1.28017,0.000519625,0.000519625,0.000519625
21,518.242,0.33099,0.7234,1,1.25349,0.000503132,0.000503132,0.000503132
22,541.858,0.32234,0.73759,1,1.15636,0.000486639,0.000486639,0.000486639
23,565.334,0.30337,0.75177,0.99291,1.20268,0.000470145,0.000470145,0.000470145
24,588.951,0.25734,0.71631,0.99291,1.34244,0.000453652,0.000453652,0.000453652
25,612.901,0.25997,0.78014,0.98582,1.22119,0.000437158,0.000437158,0.000437158
26,636.938,0.23469,0.73759,0.98582,1.35898,0.000420665,0.000420665,0.000420665
27,660.65,0.22894,0.7305,0.99291,1.28636,0.000404172,0.000404172,0.000404172
28,684.375,0.25394,0.7234,0.99291,1.44455,0.000387678,0.000387678,0.000387678
29,708.05,0.23487,0.70922,1,1.10481,0.000371185,0.000371185,0.000371185
30,731.947,0.23044,0.70922,0.98582,1.18373,0.000354691,0.000354691,0.000354691
31,755.938,0.21868,0.69504,0.98582,1.18625,0.000338198,0.000338198,0.000338198
32,779.448,0.21064,0.70213,0.98582,1.21151,0.000321705,0.000321705,0.000321705
33,803.672,0.19946,0.70922,0.99291,1.38574,0.000305211,0.000305211,0.000305211
34,827.602,0.22405,0.7305,0.99291,1.32168,0.000288718,0.000288718,0.000288718
35,851.865,0.2227,0.70213,0.99291,1.38481,0.000272224,0.000272224,0.000272224
