epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.25748,1.90072,0.17073,0.85366,1.8846,0.0001,0.0001,0.0001
2,10.6927,1.7595,0.21951,0.95122,1.69221,0.000204803,0.000204803,0.000204803
3,15.5136,1.62463,0.29268,0.97561,1.68653,0.00030416,0.00030416,0.00030416
4,20.3287,1.51588,0.39024,0.97561,1.55853,0.000398073,0.000398073,0.000398073
5,25.1805,1.34051,0.5122,0.95122,1.49549,0.00048654,0.00048654,0.00048654
6,30.181,1.12145,0.46341,0.95122,1.37908,0.000569562,0.000569562,0.000569562
7,34.9016,1.14401,0.46341,0.97561,1.43382,0.00064714,0.00064714,0.00064714
8,39.6722,0.90567,0.4878,0.95122,1.27556,0.000719273,0.000719273,0.000719273
9,44.4152,0.90287,0.4878,0.95122,1.71558,0.00078596,0.00078596,0.00078596
10,49.1562,0.71212,0.5122,0.95122,1.6741,0.00077725,0.00077725,0.00077725
11,54.0406,0.62332,0.53659,0.95122,1.47578,0.0007525,0.0007525,0.0007525
12,57.8766,0.6029,0.46341,0.92683,1.69507,0.00072775,0.00072775,0.00072775
13,61.9903,0.61357,0.46341,0.95122,1.78847,0.000703,0.000703,0.000703
14,65.8748,0.47516,0.46341,0.95122,2.30368,0.00067825,0.00067825,0.00067825
15,69.7319,0.4074,0.41463,0.95122,2.15054,0.0006535,0.0006535,0.0006535
16,73.9149,0.33894,0.46341,0.95122,1.80304,0.00062875,0.00062875,0.00062875
17,77.8433,0.4702,0.41463,0.95122,2.17946,0.000604,0.000604,0.000604
18,81.6596,0.31649,0.41463,0.95122,2.09564,0.00057925,0.00057925,0.00057925
19,86.1524,0.2504,0.39024,0.95122,2.21333,0.0005545,0.0005545,0.0005545
20,90.1246,0.31086,0.39024,0.95122,2.38789,0.00052975,0.00052975,0.00052975
21,93.9997,0.34669,0.36585,0.95122,2.8,0.000505,0.000505,0.000505
22,97.8958,0.27862,0.36585,0.95122,2.84118,0.00048025,0.00048025,0.00048025
23,101.602,0.25729,0.34146,0.95122,2.84091,0.0004555,0.0004555,0.0004555
24,105.41,0.29411,0.39024,0.95122,2.54026,0.00043075,0.00043075,0.00043075
25,109.172,0.2812,0.39024,0.92683,3.06911,0.000406,0.000406,0.000406
26,112.917,0.36765,0.36585,0.92683,2.82458,0.00038125,0.00038125,0.00038125
27,116.712,0.30775,0.39024,0.92683,2.30782,0.0003565,0.0003565,0.0003565
28,120.432,0.25623,0.41463,0.95122,2.98094,0.00033175,0.00033175,0.00033175
29,124.071,0.16637,0.39024,0.92683,2.45356,0.000307,0.000307,0.000307
30,127.8,0.23151,0.36585,0.92683,2.8911,0.00028225,0.00028225,0.00028225
31,131.625,0.21776,0.39024,0.92683,3.07539,0.0002575,0.0002575,0.0002575
32,135.375,0.27139,0.39024,0.92683,2.43012,0.00023275,0.00023275,0.00023275
33,139.133,0.18635,0.36585,0.95122,2.77083,0.000208,0.000208,0.000208
34,143.006,0.30623,0.36585,0.95122,2.54543,0.00018325,0.00018325,0.00018325
35,147.028,0.16554,0.36585,0.95122,3.00122,0.0001585,0.0001585,0.0001585
36,150.948,0.18075,0.36585,0.95122,2.69431,0.00013375,0.00013375,0.00013375
37,154.633,0.17201,0.36585,0.95122,3.16631,0.000109,0.000109,0.000109
38,158.437,0.26747,0.36585,0.95122,3.19332,8.425e-05,8.425e-05,8.425e-05
39,162.471,0.14855,0.36585,0.92683,2.81855,5.95e-05,5.95e-05,5.95e-05
40,166.219,0.38625,0.36585,0.92683,3.11939,3.475e-05,3.475e-05,3.475e-05
