epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,303.468,1.11355,2.19221,4.77564,0.00546,12.1383,0.00815,0.22135,0.04235,0.03443,0.00882,0.23521,0.04347,0.03493,0.81553,1.53965,5.55545,0.00521,0,0.00029088,0.00029088,0.00029088
2,596.156,1.1779,1.6676,3.79064,0.00538,9.28868,0.00768,0.30496,0.06505,0.04893,0.0078,0.34373,0.06545,0.05122,0.99286,1.44316,5.00697,0.00681,0,0.000585001,0.000585001,0.000585001
3,898.513,1.1993,1.59257,3.21437,0.00543,7.04645,0.86698,0.08266,0.12657,0.08318,0.85596,0.06959,0.11108,0.07338,1.06352,1.32257,4.3104,0.00775,0,0.000873182,0.000873182,0.000873182
4,1217.58,1.18026,1.57641,2.83806,0.00552,5.42511,0.70205,0.15152,0.14682,0.10105,0.7011,0.14844,0.14321,0.08912,1.00235,1.33157,3.66562,0.0078,0,0.000882003,0.000882003,0.000882003
5,1535.82,1.11908,1.43694,2.55966,0.00506,4.0177,0.75571,0.21302,0.20094,0.13921,0.74847,0.20413,0.19012,0.11587,1.05208,1.2435,3.04595,0.00871,0,0.000873004,0.000873004,0.000873004
6,1853.89,1.19237,1.53987,2.39792,0.00528,2.78377,0.72726,0.19697,0.20805,0.1473,0.72336,0.19045,0.19594,0.12341,0.99882,1.24251,2.83978,0.00758,0,0.000864004,0.000864004,0.000864004
7,2168.12,1.10517,1.36524,2.23214,0.00535,2.23104,0.76484,0.21104,0.22461,0.14477,0.75145,0.18781,0.18773,0.11801,1.10876,1.41649,2.55265,0.00828,0,0.000855005,0.000855005,0.000855005
8,2484.15,1.12328,1.43697,2.1281,0.00538,1.9922,0.75372,0.22958,0.24853,0.17117,0.7473,0.21962,0.23547,0.14359,1.03319,1.3228,2.25353,0.00786,0,0.000846006,0.000846006,0.000846006
9,2797.13,1.15255,1.50482,2.01886,0.00509,1.65582,0.79864,0.23714,0.2508,0.15523,0.78111,0.21496,0.21751,0.12768,1.08454,1.25109,2.26535,0.0078,0,0.000837007,0.000837007,0.000837007
10,3109.33,1.19455,1.54376,1.88774,0.00551,1.45716,0.79564,0.26072,0.2606,0.16689,0.78545,0.25058,0.24335,0.1342,1.0298,1.21205,2.09781,0.00814,0,0.000828008,0.000828008,0.000828008
11,3417.56,1.08442,1.32908,1.72322,0.00544,1.27925,0.7771,0.2704,0.30022,0.20202,0.76484,0.25633,0.27621,0.1639,0.99244,1.20079,1.8418,0.00751,0,0.000819009,0.000819009,0.000819009
