epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.0868,2.05747,0.29655,0.86897,1.81061,0.00024901,0.00024901,0.00024901
2,25.9534,1.57501,0.49655,0.92414,1.39892,0.000495337,0.000495337,0.000495337
3,38.2723,1.22284,0.55862,0.94483,1.13923,0.000731514,0.000731514,0.000731514
4,50.5097,0.96453,0.61379,0.97931,1.09221,0.000723321,0.000723321,0.000723321
5,62.8128,0.85964,0.64138,0.97931,1.11163,0.000708095,0.000708095,0.000708095
6,74.9269,0.75922,0.67586,0.98621,1.01692,0.000692869,0.000692869,0.000692869
7,87.6398,0.65062,0.64828,0.98621,1.05457,0.000677643,0.000677643,0.000677643
8,99.9628,0.59627,0.64138,0.98621,1.02866,0.000662417,0.000662417,0.000662417
9,112.213,0.5553,0.62069,0.98621,1.08528,0.00064719,0.00064719,0.00064719
10,124.503,0.48851,0.64828,0.97931,1.0894,0.000631964,0.000631964,0.000631964
11,137.162,0.43158,0.65517,0.98621,1.07723,0.000616738,0.000616738,0.000616738
12,149.449,0.39789,0.62759,0.97931,1.10665,0.000601512,0.000601512,0.000601512
13,161.829,0.42213,0.65517,0.97931,1.16936,0.000586286,0.000586286,0.000586286
14,173.987,0.34456,0.65517,0.98621,1.14759,0.000571059,0.000571059,0.000571059
15,186.512,0.3694,0.64828,0.98621,1.16352,0.000555833,0.000555833,0.000555833
16,199.044,0.37125,0.66897,0.9931,1.2775,0.000540607,0.000540607,0.000540607
17,211.266,0.30069,0.65517,0.9931,1.15947,0.000525381,0.000525381,0.000525381
18,223.507,0.30966,0.65517,0.9931,1.14431,0.000510155,0.000510155,0.000510155
19,235.931,0.28184,0.66897,0.9931,1.10391,0.000494928,0.000494928,0.000494928
20,248.011,0.28294,0.66207,0.9931,1.12341,0.000479702,0.000479702,0.000479702
21,260.397,0.25422,0.67586,0.9931,1.1487,0.000464476,0.000464476,0.000464476
22,272.557,0.26637,0.66207,0.9931,1.15817,0.00044925,0.00044925,0.00044925
23,285.091,0.24606,0.64828,0.9931,1.26758,0.000434024,0.000434024,0.000434024
24,297.243,0.23888,0.64828,0.9931,1.23754,0.000418797,0.000418797,0.000418797
25,309.489,0.23992,0.66897,0.98621,1.3114,0.000403571,0.000403571,0.000403571
26,321.8,0.25044,0.67586,0.97241,1.26509,0.000388345,0.000388345,0.000388345
27,334.27,0.19754,0.65517,0.97241,1.29928,0.000373119,0.000373119,0.000373119
28,346.543,0.21086,0.65517,0.97931,1.25918,0.000357893,0.000357893,0.000357893
29,359.214,0.22345,0.66207,0.97931,1.26767,0.000342666,0.000342666,0.000342666
30,371.45,0.20979,0.68276,0.97931,1.30172,0.00032744,0.00032744,0.00032744
31,383.759,0.21424,0.66207,0.97931,1.28249,0.000312214,0.000312214,0.000312214
32,395.84,0.22791,0.67586,0.97931,1.35883,0.000296988,0.000296988,0.000296988
33,408.114,0.23981,0.68966,0.97931,1.33009,0.000281762,0.000281762,0.000281762
34,420.424,0.21825,0.67586,0.97931,1.30668,0.000266535,0.000266535,0.000266535
35,432.868,0.18395,0.64828,0.97931,1.43426,0.000251309,0.000251309,0.000251309
36,444.964,0.20922,0.65517,0.96552,1.36842,0.000236083,0.000236083,0.000236083
37,457.182,0.2141,0.65517,0.97931,1.40819,0.000220857,0.000220857,0.000220857
38,469.434,0.16976,0.66897,0.98621,1.3889,0.000205631,0.000205631,0.000205631
39,482.03,0.1825,0.65517,0.98621,1.33108,0.000190404,0.000190404,0.000190404
40,494.244,0.18771,0.66207,0.98621,1.53359,0.000175178,0.000175178,0.000175178
41,506.696,0.20687,0.66897,0.98621,1.32852,0.000159952,0.000159952,0.000159952
42,518.868,0.22442,0.67586,0.97931,1.38518,0.000144726,0.000144726,0.000144726
43,531.273,0.15651,0.66207,0.97241,1.36075,0.0001295,0.0001295,0.0001295
44,543.424,0.1997,0.66207,0.97931,1.44468,0.000114273,0.000114273,0.000114273
45,555.729,0.20276,0.66207,0.97931,1.36739,9.90472e-05,9.90472e-05,9.90472e-05
46,567.949,0.18587,0.66207,0.97931,1.45546,8.3821e-05,8.3821e-05,8.3821e-05
47,580.483,0.17401,0.67586,0.97931,1.34317,6.85948e-05,6.85948e-05,6.85948e-05
48,592.699,0.18218,0.66207,0.97931,1.47685,5.33686e-05,5.33686e-05,5.33686e-05
49,605.238,0.17185,0.67586,0.97931,1.38824,3.81424e-05,3.81424e-05,3.81424e-05
50,617.398,0.17343,0.68276,0.97931,1.29853,2.29162e-05,2.29162e-05,2.29162e-05
