epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49339,1.66363,2.8743,1.65584,0.02,0.94737,0.09849,0.05249,1.56367,2.97282,1.6693,0,0,0
2,5.12768,1.8174,3.16014,1.55653,0.02,0.94737,0.09863,0.05272,1.56419,2.97777,1.67331,1.604e-05,1.604e-05,1.604e-05
3,7.76521,1.69434,2.99209,1.70717,0.02111,1,0.10219,0.05311,1.57036,2.97495,1.66951,2.416e-05,2.416e-05,2.416e-05
4,10.2314,1.80347,3.09357,1.67089,0.02111,1,0.10351,0.06,1.55117,2.96973,1.64587,2.436e-05,2.436e-05,2.436e-05
5,12.6177,1.71508,2.94594,1.74179,0.02111,1,0.10726,0.06062,1.55736,2.97006,1.65308,1.664e-05,1.664e-05,1.664e-05
