epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6742.61,0.80685,1.02584,0.545,0.00474,0.33509,0.83917,0.88666,0.91761,0.77015,0.84226,0.88993,0.91994,0.77735,0.70252,0.92116,0.57132,0.00601,0,0.0009308,0.0009308,0.0009308
29,6978.72,0.78798,0.98268,0.4971,0.00485,0.319,0.86703,0.89494,0.92506,0.76039,0.86703,0.89494,0.92506,0.77355,0.74538,0.96007,0.54359,0.00643,0,0.0008912,0.0008912,0.0008912
30,7214.87,0.76889,0.98807,0.5015,0.00481,0.32161,0.89948,0.88889,0.93127,0.7705,0.89948,0.88889,0.93127,0.78407,0.75159,0.93644,0.52696,0.00647,0,0.0008516,0.0008516,0.0008516
31,7451.16,0.76555,0.95377,0.47537,0.00466,0.29943,0.8625,0.90194,0.92845,0.78189,0.8625,0.90194,0.92864,0.78546,0.67947,0.92249,0.52868,0.00581,0,0.000812,0.000812,0.000812
32,7687.02,0.75745,0.98244,0.48038,0.00467,0.32514,0.86814,0.90367,0.93701,0.77673,0.86814,0.90367,0.93701,0.78864,0.72111,0.91175,0.532,0.00616,0,0.0007724,0.0007724,0.0007724
33,7921.61,0.75453,0.94363,0.48434,0.00492,0.30761,0.88733,0.88889,0.93355,0.76275,0.88733,0.88889,0.93355,0.79148,0.73942,0.91046,0.56027,0.00663,0,0.0007328,0.0007328,0.0007328
34,8158.15,0.7688,0.9719,0.46483,0.00493,0.31767,0.89365,0.86928,0.9366,0.78252,0.89365,0.86928,0.9366,0.79311,0.68931,0.90832,0.51878,0.00612,0,0.0006932,0.0006932,0.0006932
35,8395.88,0.74662,0.95929,0.48016,0.00459,0.31202,0.89989,0.88132,0.93766,0.78177,0.89989,0.88132,0.93838,0.79739,0.69807,0.90986,0.50199,0.00621,0,0.0006536,0.0006536,0.0006536
36,8633.01,0.73976,0.92543,0.46006,0.00473,0.30408,0.89033,0.90523,0.93222,0.7688,0.89257,0.9085,0.93261,0.78078,0.72072,0.91672,0.50418,0.00622,0,0.000614,0.000614,0.000614
37,8869.66,0.72307,0.91511,0.43687,0.00457,0.30341,0.89377,0.87983,0.93445,0.78275,0.89377,0.87983,0.93463,0.79164,0.67558,0.89191,0.49358,0.00575,0,0.0005744,0.0005744,0.0005744
38,9107.7,0.69999,0.91536,0.44386,0.00417,0.30162,0.87896,0.91176,0.93624,0.79342,0.87896,0.91176,0.93627,0.80129,0.66528,0.87642,0.47462,0.00566,0,0.0005348,0.0005348,0.0005348
39,9344.04,0.70445,0.89901,0.42054,0.00445,0.2895,0.88474,0.90309,0.93702,0.80103,0.88474,0.90309,0.93707,0.80861,0.65548,0.87793,0.49998,0.00578,0,0.0004952,0.0004952,0.0004952
40,9587.65,0.71041,0.93353,0.43582,0.00439,0.3098,0.89687,0.88106,0.92988,0.78832,0.89687,0.88106,0.92988,0.78652,0.6428,0.87989,0.4932,0.00554,0,0.0004556,0.0004556,0.0004556
41,9820.18,0.63292,0.79484,0.42829,0.00511,0.28005,0.89471,0.88866,0.93816,0.7923,0.89471,0.88866,0.93816,0.8027,0.68578,0.89438,0.50337,0.00575,0,0.000416,0.000416,0.000416
42,10051.2,0.61639,0.80881,0.40355,0.00507,0.26556,0.91295,0.88235,0.93574,0.78307,0.91295,0.88235,0.93574,0.79933,0.68507,0.88499,0.50559,0.0059,0,0.0003764,0.0003764,0.0003764
43,10282.2,0.5981,0.7727,0.38832,0.0049,0.26034,0.88122,0.89708,0.92742,0.78092,0.88122,0.89708,0.92742,0.7854,0.64116,0.881,0.52201,0.00546,0,0.0003368,0.0003368,0.0003368
44,10514.6,0.57592,0.74292,0.35494,0.00497,0.26645,0.87232,0.9085,0.94176,0.80617,0.87232,0.9085,0.94176,0.81297,0.63901,0.88364,0.48006,0.00541,0,0.0002972,0.0002972,0.0002972
45,10746,0.58643,0.76594,0.35041,0.00469,0.25308,0.89593,0.90523,0.94135,0.81141,0.89593,0.90523,0.94135,0.81562,0.64007,0.89228,0.47843,0.00545,0,0.0002576,0.0002576,0.0002576
46,10977.7,0.59166,0.7438,0.34651,0.00479,0.25021,0.91278,0.87582,0.94287,0.80823,0.91278,0.87582,0.94287,0.81301,0.64461,0.88323,0.47612,0.0055,0,0.000218,0.000218,0.000218
47,11208.8,0.58364,0.74543,0.33543,0.00484,0.25253,0.88086,0.89402,0.93946,0.81269,0.88086,0.89402,0.93946,0.81288,0.62502,0.88246,0.48334,0.00529,0,0.0001784,0.0001784,0.0001784
48,11439.4,0.5793,0.75687,0.33386,0.00472,0.25498,0.9381,0.83007,0.93991,0.81179,0.9381,0.83007,0.93991,0.81212,0.62657,0.87785,0.48326,0.00527,0,0.0001388,0.0001388,0.0001388
49,11669.1,0.57155,0.74393,0.3324,0.00463,0.24263,0.93004,0.84314,0.94132,0.81838,0.93004,0.84314,0.94132,0.81758,0.61678,0.87333,0.4823,0.0052,0,9.92e-05,9.92e-05,9.92e-05
50,11898.4,0.55186,0.73209,0.31852,0.00459,0.24853,0.86078,0.9085,0.94112,0.81208,0.86078,0.9085,0.94112,0.8155,0.62354,0.8732,0.48284,0.00531,0,5.96e-05,5.96e-05,5.96e-05
