epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.1474,2.14168,0.26207,0.86897,1.86756,0.00024901,0.00024901,0.00024901
2,25.8729,1.72022,0.41379,0.91724,1.5528,0.000495337,0.000495337,0.000495337
3,38.1124,1.38921,0.51724,0.93103,1.31111,0.000731514,0.000731514,0.000731514
4,50.1985,1.16405,0.57931,0.95862,1.21475,0.000723321,0.000723321,0.000723321
5,62.7923,0.99698,0.6,0.97241,1.23815,0.000708095,0.000708095,0.000708095
6,74.6847,0.94958,0.63448,0.97241,1.13381,0.000692869,0.000692869,0.000692869
7,86.7194,0.83257,0.64138,0.98621,1.08967,0.000677643,0.000677643,0.000677643
8,98.8437,0.72641,0.62759,0.98621,0.95287,0.000662417,0.000662417,0.000662417
9,110.803,0.67283,0.68276,0.9931,0.96018,0.00064719,0.00064719,0.00064719
10,123.415,0.61057,0.68966,0.9931,0.97149,0.000631964,0.000631964,0.000631964
11,135.629,0.60093,0.68276,0.9931,0.97175,0.000616738,0.000616738,0.000616738
12,147.846,0.55891,0.71724,0.9931,0.93663,0.000601512,0.000601512,0.000601512
13,159.924,0.574,0.68966,0.9931,0.99951,0.000586286,0.000586286,0.000586286
14,172.116,0.49758,0.64138,0.9931,1.13388,0.000571059,0.000571059,0.000571059
15,184.094,0.5035,0.68966,0.9931,1.01707,0.000555833,0.000555833,0.000555833
16,196.339,0.45464,0.71034,0.9931,1.14026,0.000540607,0.000540607,0.000540607
17,208.349,0.41991,0.68276,0.9931,1.08811,0.000525381,0.000525381,0.000525381
18,220.479,0.45543,0.67586,0.98621,1.18269,0.000510155,0.000510155,0.000510155
19,233.017,0.41635,0.66207,0.9931,1.17291,0.000494928,0.000494928,0.000494928
20,245.297,0.40324,0.66207,0.98621,1.13578,0.000479702,0.000479702,0.000479702
21,257.842,0.33743,0.66207,0.98621,1.15255,0.000464476,0.000464476,0.000464476
22,270.403,0.35358,0.65517,0.9931,1.16409,0.00044925,0.00044925,0.00044925
