epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5651.99,1.14611,1.22036,0.7035,0.00188,0.45914,0.89527,0.88196,0.93678,0.74114,0.88868,0.87243,0.92263,0.57749,0.87389,1.0152,0.50453,0.00166,0,0.0007327,0.0007327,0.0007327
29,5850.84,1.13539,1.2159,0.70307,0.00187,0.46228,0.89832,0.90019,0.9417,0.74765,0.88843,0.88934,0.92443,0.5791,0.87182,1.01376,0.47982,0.00165,0,0.0007228,0.0007228,0.0007228
30,6049.89,1.1459,1.21356,0.69327,0.00186,0.46785,0.89855,0.91087,0.94402,0.75157,0.8901,0.90349,0.93143,0.59261,0.86466,0.9945,0.43785,0.00163,0,0.0007129,0.0007129,0.0007129
31,6249.07,1.11089,1.17793,0.65864,0.00182,0.42253,0.89505,0.89924,0.93849,0.74699,0.89029,0.89276,0.92711,0.59487,0.85556,0.9817,0.45682,0.00163,0,0.000703,0.000703,0.000703
32,6448.31,1.1185,1.17064,0.64936,0.00184,0.41707,0.90748,0.90522,0.94769,0.75628,0.8964,0.89466,0.92994,0.59251,0.85755,0.98352,0.43009,0.00161,0,0.0006931,0.0006931,0.0006931
33,6647.97,1.10282,1.17107,0.6459,0.00183,0.41347,0.90724,0.91256,0.94295,0.74923,0.89486,0.89955,0.9243,0.57815,0.86763,0.99515,0.43709,0.00163,0,0.0006832,0.0006832,0.0006832
34,6847.42,1.11127,1.18604,0.64873,0.00182,0.41546,0.90778,0.90317,0.94784,0.75206,0.89539,0.89181,0.93028,0.58286,0.86016,0.99897,0.44807,0.00162,0,0.0006733,0.0006733,0.0006733
35,7046.67,1.09471,1.15604,0.64329,0.0018,0.40937,0.8981,0.92316,0.94895,0.7631,0.89555,0.90243,0.93436,0.60259,0.84348,0.98835,0.42911,0.00159,0,0.0006634,0.0006634,0.0006634
36,7245.47,1.09735,1.14714,0.62779,0.00181,0.40089,0.91142,0.91514,0.95134,0.76451,0.90491,0.90925,0.94152,0.61523,0.85148,0.9727,0.4057,0.00162,0,0.0006535,0.0006535,0.0006535
37,7445.13,1.0984,1.15771,0.62499,0.00177,0.40086,0.91074,0.91108,0.94985,0.76552,0.90687,0.89818,0.93779,0.60133,0.84148,0.99005,0.4249,0.00158,0,0.0006436,0.0006436,0.0006436
38,7645.77,1.08639,1.14743,0.61807,0.00179,0.39256,0.92048,0.91173,0.95239,0.76678,0.91528,0.89664,0.93974,0.6016,0.83089,0.98109,0.40704,0.00157,0,0.0006337,0.0006337,0.0006337
39,7845.41,1.07237,1.1384,0.60381,0.00176,0.38431,0.9101,0.9161,0.94964,0.76927,0.90106,0.90684,0.93386,0.6028,0.83009,0.97282,0.41663,0.00155,0,0.0006238,0.0006238,0.0006238
40,8044.77,1.08812,1.15242,0.61078,0.00177,0.37827,0.92073,0.90656,0.95199,0.76904,0.9124,0.8983,0.93822,0.59863,0.83613,0.96769,0.41468,0.00157,0,0.0006139,0.0006139,0.0006139
41,8244.09,1.07864,1.13791,0.60535,0.00175,0.38459,0.92407,0.91284,0.95308,0.77533,0.91398,0.90303,0.9384,0.60064,0.829,0.97278,0.40265,0.00155,0,0.000604,0.000604,0.000604
42,8442.93,1.07606,1.13955,0.59078,0.00176,0.36933,0.91308,0.92405,0.95078,0.77068,0.91106,0.90887,0.93573,0.60647,0.8282,0.95017,0.40148,0.00154,0,0.0005941,0.0005941,0.0005941
43,8642.29,1.07336,1.13779,0.58397,0.00175,0.36157,0.91444,0.92718,0.9528,0.77028,0.90533,0.91752,0.9384,0.60015,0.82831,0.96344,0.40348,0.00155,0,0.0005842,0.0005842,0.0005842
44,8841.24,1.07085,1.12896,0.58841,0.00175,0.36782,0.91995,0.91709,0.95464,0.77262,0.90884,0.90835,0.93922,0.59357,0.8337,0.96797,0.40264,0.00155,0,0.0005743,0.0005743,0.0005743
45,9040.78,1.07134,1.1303,0.58635,0.00171,0.37385,0.92132,0.92692,0.95841,0.77971,0.91368,0.91869,0.94608,0.61032,0.82358,0.95475,0.38255,0.00154,0,0.0005644,0.0005644,0.0005644
