epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4327,0.98377,1.50578,4.98018,0.00582,6.76684,0.5244,0.16759,0.14444,0.10923,0.52397,0.16484,0.14053,0.09803,0.94666,1.2532,2.39577,0.00821,0,0.00029088,0.00029088,0.00029088
2,71.1355,0.97589,1.28673,2.52981,0.00555,4.11628,0.78172,0.24297,0.22527,0.15791,0.77697,0.23156,0.21406,0.12393,1.09566,1.32861,1.75523,0.01034,0,0.000579151,0.000579151,0.000579151
3,99.6369,1.04891,1.28828,1.77233,0.00597,3.05205,0.56237,0.26249,0.28674,0.19546,0.56161,0.25789,0.28182,0.18169,1.13784,1.3788,1.49656,0.01004,0,0.000855544,0.000855544,0.000855544
4,128.941,1.08974,1.37336,1.45328,0.00554,2.4403,0.6574,0.34428,0.34342,0.22925,0.65978,0.319,0.32106,0.1885,1.08696,1.66308,1.35086,0.01017,0,0.000855005,0.000855005,0.000855005
5,155.252,1.14826,1.41704,1.34061,0.00537,1.73196,0.72596,0.39415,0.47313,0.34507,0.71576,0.3831,0.45685,0.3045,0.98411,1.21628,1.02115,0.00934,0,0.000837007,0.000837007,0.000837007
6,181.152,1.15021,1.3666,1.27537,0.00538,1.2333,0.47669,0.48189,0.45745,0.32196,0.47066,0.47017,0.43763,0.28022,1.03117,1.1133,1.15478,0.00972,0,0.000819009,0.000819009,0.000819009
7,206.892,1.09099,1.21436,1.10486,0.00577,0.9519,0.67197,0.39969,0.4648,0.32759,0.6606,0.3887,0.44415,0.28118,1.11919,1.16723,1.26455,0.01101,0,0.000801011,0.000801011,0.000801011
8,233.02,1.01442,1.18814,1.07335,0.00552,0.77441,0.74044,0.3711,0.47444,0.31869,0.75425,0.34234,0.45063,0.26766,1.04239,1.07696,1.02177,0.01024,0,0.000783013,0.000783013,0.000783013
9,257.438,1.0034,1.184,1.04508,0.0054,0.62515,0.63209,0.42352,0.43788,0.30067,0.6121,0.40374,0.40251,0.23669,1.07986,1.2308,1.12361,0.01082,0,0.000765014,0.000765014,0.000765014
10,282.949,1.04869,1.16672,1.01092,0.00523,0.54144,0.66446,0.56904,0.60357,0.42838,0.64112,0.5411,0.56703,0.36028,0.94828,1.2314,0.79929,0.00866,0,0.000747016,0.000747016,0.000747016
11,307.991,1.04114,1.16951,0.98503,0.00514,0.52928,0.74548,0.4531,0.53117,0.35995,0.72755,0.43095,0.49754,0.32248,0.99313,1.09908,0.99356,0.00878,0,0.000729018,0.000729018,0.000729018
12,332.946,0.98968,1.14223,1.00591,0.00534,0.57547,0.78341,0.54544,0.62457,0.45859,0.77531,0.53862,0.61095,0.42161,1.03049,1.05529,0.91088,0.01018,0,0.00071102,0.00071102,0.00071102
13,358.245,0.98274,1.10386,0.96102,0.00524,0.56951,0.83712,0.53663,0.64113,0.46414,0.83027,0.52753,0.62543,0.42715,1.03967,1.00179,0.81425,0.01025,0,0.000693022,0.000693022,0.000693022
14,383.472,1.00901,1.09626,0.91643,0.00553,0.53096,0.76035,0.5663,0.58258,0.4081,0.74617,0.54868,0.55744,0.35212,0.96784,1.03681,0.85616,0.0091,0,0.000675023,0.000675023,0.000675023
15,409.104,0.98078,1.12113,0.88602,0.00481,0.4875,0.69214,0.60674,0.5993,0.45526,0.67475,0.5607,0.58369,0.39329,0.9209,0.96544,0.70603,0.00862,0,0.000657025,0.000657025,0.000657025
16,434.369,0.98998,1.10143,0.88646,0.00473,0.48558,0.74153,0.56231,0.59975,0.42155,0.72834,0.54362,0.56253,0.35027,0.88628,0.98933,0.77146,0.00789,0,0.000639027,0.000639027,0.000639027
17,460.018,0.95822,1.06592,0.87602,0.00527,0.46907,0.78239,0.48237,0.57984,0.4145,0.76805,0.46303,0.55525,0.33477,0.91094,0.99353,0.87882,0.00835,0,0.000621029,0.000621029,0.000621029
18,484.813,0.87031,1.01248,0.82626,0.00503,0.44494,0.7593,0.56275,0.63534,0.49904,0.74988,0.55427,0.60972,0.42679,0.83872,0.95219,0.77328,0.00746,0,0.000603031,0.000603031,0.000603031
19,510.441,0.94022,1.02551,0.8495,0.00477,0.43893,0.78084,0.58665,0.62879,0.45973,0.75116,0.56207,0.58579,0.39399,0.8918,0.93581,0.75049,0.00764,0,0.000585032,0.000585032,0.000585032
20,535.581,0.94982,1.061,0.85513,0.00464,0.46564,0.67513,0.57568,0.58426,0.42295,0.65753,0.55227,0.55199,0.33252,0.86163,0.95169,0.89636,0.00767,0,0.000567034,0.000567034,0.000567034
21,560.655,0.89776,0.98185,0.81441,0.00438,0.42826,0.75846,0.66403,0.65716,0.49057,0.74191,0.64066,0.62962,0.41037,0.85788,0.92107,0.73034,0.00803,0,0.000549036,0.000549036,0.000549036
22,586.516,0.84069,0.95212,0.73995,0.00491,0.40773,0.83121,0.58798,0.66371,0.49817,0.82014,0.57463,0.63601,0.41929,0.82176,0.92689,0.67624,0.00747,0,0.000531038,0.000531038,0.000531038
23,612.097,0.90945,1.00859,0.7862,0.00447,0.43449,0.54504,0.66054,0.62081,0.48913,0.53062,0.64172,0.59761,0.42434,0.79353,0.89036,0.67989,0.00705,0,0.00051304,0.00051304,0.00051304
24,637.216,0.87105,1.00167,0.72631,0.0044,0.39388,0.73121,0.62798,0.63911,0.48327,0.72402,0.59846,0.59997,0.40064,0.83231,0.93317,0.65481,0.00702,0,0.000495041,0.000495041,0.000495041
25,662.528,0.96834,1.09367,0.7891,0.00425,0.41905,0.76666,0.60289,0.63377,0.49177,0.75438,0.58974,0.61193,0.41951,0.80312,0.9311,0.74316,0.00699,0,0.000477043,0.000477043,0.000477043
26,687.457,0.98073,1.11046,0.74921,0.00407,0.36274,0.84555,0.60224,0.68146,0.53531,0.8403,0.59492,0.66087,0.45422,0.7805,0.88363,0.5939,0.00694,0,0.000459045,0.000459045,0.000459045
