epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64898,1.67992,3.07236,1.66461,0.01667,0.90909,0.03336,0.01778,1.52968,2.96797,1.65674,0,0,0
2,7.26216,1.68381,3.00254,1.7329,0.01667,0.90909,0.03376,0.01846,1.5004,2.96822,1.63525,1.9604e-05,1.9604e-05,1.9604e-05
3,11.039,1.71156,3.09688,1.67784,0.01667,0.90909,0.03856,0.02223,1.49531,2.96938,1.61299,3.8416e-05,3.8416e-05,3.8416e-05
4,14.7076,1.70961,3.04101,1.6601,0.01667,0.90909,0.04725,0.02806,1.44173,2.97249,1.56709,5.6436e-05,5.6436e-05,5.6436e-05
5,18.4144,1.53458,2.96317,1.52516,0.0175,0.95455,0.07802,0.04819,1.38525,2.96801,1.53635,7.3664e-05,7.3664e-05,7.3664e-05
6,22.1253,1.5746,3.05694,1.47124,0.01833,1,0.13659,0.08181,1.35187,2.92775,1.49207,9.01e-05,9.01e-05,9.01e-05
7,25.7044,1.51728,3.01121,1.46423,0.01833,1,0.17235,0.10053,1.31422,2.91649,1.45357,0.000105744,0.000105744,0.000105744
8,29.1871,1.44587,2.77009,1.40298,0.01833,1,0.2771,0.12655,1.28791,2.88154,1.4166,0.000120596,0.000120596,0.000120596
9,33.0535,1.54886,2.61544,1.39603,0.01833,1,0.31227,0.19309,1.30124,2.8191,1.39404,0.000134656,0.000134656,0.000134656
10,36.9449,1.44705,2.6282,1.32446,0.01833,1,0.31269,0.1962,1.37016,2.7804,1.37542,0.000147924,0.000147924,0.000147924
11,41.3743,1.44137,2.70242,1.24462,0.01833,1,0.36176,0.20774,1.40818,2.75504,1.36957,0.0001604,0.0001604,0.0001604
12,45.7604,1.5043,2.52533,1.26467,0.01833,1,0.35365,0.18649,1.6323,2.76683,1.40913,0.000172084,0.000172084,0.000172084
13,49.8996,1.46039,2.37603,1.26968,0.01833,1,0.38312,0.18502,1.76153,2.73363,1.47836,0.000182976,0.000182976,0.000182976
14,54.158,1.3936,2.20844,1.23432,0.01833,1,0.40689,0.21166,1.7375,2.69681,1.442,0.000193076,0.000193076,0.000193076
15,58.2346,1.42759,2.24144,1.2679,0.01833,1,0.38751,0.20898,1.79421,2.65323,1.4914,0.000202384,0.000202384,0.000202384
16,62.6185,1.37912,2.07878,1.19977,0.01833,1,0.38192,0.21793,1.7893,2.61618,1.46957,0.0002109,0.0002109,0.0002109
17,66.5994,1.40408,2.04819,1.17974,0.01833,1,0.41659,0.20457,1.80959,2.62489,1.48295,0.000218624,0.000218624,0.000218624
18,70.8207,1.46561,1.98414,1.24658,0.01833,1,0.41659,0.20457,1.80959,2.62489,1.48295,0.000225556,0.000225556,0.000225556
19,74.8424,1.36356,1.83565,1.20818,0.01833,1,0.50114,0.25671,1.59084,2.59663,1.36405,0.000231696,0.000231696,0.000231696
20,79.0262,1.42192,1.90166,1.22191,0.01833,1,0.50114,0.25671,1.59084,2.59663,1.36405,0.000237044,0.000237044,0.000237044
21,83.089,1.41341,1.79978,1.23845,0.01833,1,0.59442,0.31761,1.42572,2.57563,1.27933,0.0002416,0.0002416,0.0002416
22,87.599,1.31157,1.72806,1.20687,0.01833,1,0.59442,0.31761,1.42572,2.57563,1.27933,0.000245364,0.000245364,0.000245364
23,91.7219,1.29817,1.66855,1.20345,0.01833,1,0.65116,0.38799,1.31926,2.50895,1.18212,0.000248336,0.000248336,0.000248336
