epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,95.729,1.3326,1.77595,1.18765,0.01833,1,0.65116,0.38799,1.31926,2.50895,1.18212,0.000250516,0.000250516,0.000250516
25,99.9456,1.40896,1.64558,1.24894,0.01833,1,0.67019,0.39405,1.23812,2.47988,1.14687,0.000251904,0.000251904,0.000251904
26,104.25,1.33045,1.70653,1.24075,0.01833,1,0.67019,0.39405,1.23812,2.47988,1.14687,0.0002525,0.0002525,0.0002525
27,108.556,1.32394,1.54441,1.21314,0.01833,1,0.59939,0.3823,1.22268,2.47253,1.15232,0.000252304,0.000252304,0.000252304
28,112.494,1.2595,1.53639,1.15056,0.01833,1,0.59939,0.3823,1.22268,2.47253,1.15232,0.000251316,0.000251316,0.000251316
29,116.666,1.31966,1.44994,1.18462,0.01833,1,0.57357,0.36564,1.21859,2.46412,1.15162,0.000249536,0.000249536,0.000249536
30,120.496,1.34114,1.42921,1.20956,0.01833,1,0.57357,0.36564,1.21859,2.46412,1.15162,0.000246964,0.000246964,0.000246964
31,124.4,1.37114,1.44772,1.25739,0.01833,1,0.64004,0.38774,1.2954,2.45529,1.19484,0.0002436,0.0002436,0.0002436
32,128.202,1.41958,1.38522,1.2482,0.01833,1,0.64004,0.38774,1.2954,2.45529,1.19484,0.000239444,0.000239444,0.000239444
33,131.897,1.35015,1.42201,1.23398,0.01833,1,0.63293,0.37671,1.2772,2.4533,1.21331,0.000234496,0.000234496,0.000234496
34,135.478,1.41671,1.33254,1.2458,0.01833,1,0.63293,0.37671,1.2772,2.4533,1.21331,0.000228756,0.000228756,0.000228756
35,139.267,1.35659,1.30319,1.19638,0.01833,1,0.60028,0.35925,1.32662,2.44613,1.22646,0.000222224,0.000222224,0.000222224
36,143.183,1.33807,1.28382,1.27855,0.01833,1,0.60028,0.35925,1.32662,2.44613,1.22646,0.0002149,0.0002149,0.0002149
37,147.11,1.2149,1.35117,1.17604,0.01833,1,0.62123,0.36969,1.33001,2.43803,1.22637,0.000206784,0.000206784,0.000206784
38,150.784,1.25705,1.33593,1.24579,0.01833,1,0.62123,0.36969,1.33001,2.43803,1.22637,0.000197876,0.000197876,0.000197876
39,154.647,1.29675,1.20127,1.18838,0.0425,0.90909,0.61128,0.35958,1.3306,2.42168,1.21999,0.000188176,0.000188176,0.000188176
40,158.308,1.22874,1.2374,1.20248,0.0425,0.90909,0.61128,0.35958,1.3306,2.42168,1.21999,0.000177684,0.000177684,0.000177684
41,161.964,1.33583,1.25714,1.25759,0.5432,0.77273,0.65207,0.40091,1.30709,2.4024,1.2166,0.0001664,0.0001664,0.0001664
42,165.714,1.28072,1.19583,1.23888,0.5432,0.77273,0.65207,0.40091,1.30709,2.4024,1.2166,0.000154324,0.000154324,0.000154324
43,169.243,1.28971,1.0817,1.1802,0.84443,0.49387,0.64252,0.4014,1.30442,2.37618,1.23066,0.000141456,0.000141456,0.000141456
44,172.727,1.22626,1.14105,1.19934,0.84443,0.49387,0.64252,0.4014,1.30442,2.37618,1.23066,0.000127796,0.000127796,0.000127796
45,176.735,1.24976,1.12932,1.21156,0.80371,0.37292,0.64434,0.41133,1.33309,2.34808,1.25304,0.000113344,0.000113344,0.000113344
46,180.455,1.24117,1.06352,1.16493,0.80371,0.37292,0.64434,0.41133,1.33309,2.34808,1.25304,9.81e-05,9.81e-05,9.81e-05
47,184.413,1.22426,1.09036,1.17276,0.86826,0.30101,0.65327,0.41051,1.35602,2.32601,1.28214,8.2064e-05,8.2064e-05,8.2064e-05
48,188.307,1.18416,1.06927,1.1284,0.86826,0.30101,0.65327,0.41051,1.35602,2.32601,1.28214,6.5236e-05,6.5236e-05,6.5236e-05
49,192.199,1.1818,1.197,1.14659,0.88967,0.36684,0.66578,0.42339,1.3583,2.31127,1.27998,4.7616e-05,4.7616e-05,4.7616e-05
50,196.05,1.19523,1.13319,1.24139,0.88967,0.36684,0.66578,0.42339,1.3583,2.31127,1.27998,2.9204e-05,2.9204e-05,2.9204e-05
