epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10283,0.98195,2.6796,1.31631,0.56904,0.85,0.80196,0.61262,1.63323,1.10951,1.37882,0,0,0
2,4.2979,1.02676,3.2776,1.38045,0.56932,0.85,0.84195,0.63701,1.6389,1.09236,1.37814,9.5438e-07,9.5438e-07,9.5438e-07
3,6.31086,1.40935,2.72996,1.81288,0.56251,0.85,0.84339,0.63781,1.65256,1.09329,1.37934,1.43752e-06,1.43752e-06,1.43752e-06
4,8.322,1.52145,3.03161,2.09728,0.56182,0.85,0.80246,0.613,1.65826,1.08448,1.38007,1.44942e-06,1.44942e-06,1.44942e-06
5,10.3311,1.48299,3.25922,1.95425,0.5534,0.85,0.84893,0.63075,1.65203,1.08236,1.37121,9.9008e-07,9.9008e-07,9.9008e-07
