epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.18129,1.90072,0.17073,0.85366,1.8846,0.0001,0.0001,0.0001
2,8.46532,1.75918,0.21951,0.95122,1.69159,0.000205842,0.000205842,0.000205842
3,12.3743,1.62349,0.29268,0.97561,1.68575,0.000307328,0.000307328,0.000307328
4,16.2979,1.51365,0.39024,0.97561,1.55653,0.000404458,0.000404458,0.000404458
5,20.0453,1.336,0.5122,0.95122,1.49311,0.000497232,0.000497232,0.000497232
6,24.0899,1.11501,0.46341,0.95122,1.37722,0.00058565,0.00058565,0.00058565
7,27.9646,1.13818,0.46341,0.97561,1.43547,0.000669712,0.000669712,0.000669712
8,31.7603,0.89519,0.4878,0.95122,1.27849,0.000749418,0.000749418,0.000749418
9,35.4796,0.89223,0.4878,0.95122,1.73111,0.000824768,0.000824768,0.000824768
10,39.6716,0.69888,0.5122,0.95122,1.69092,0.0008218,0.0008218,0.0008218
11,43.661,0.60671,0.53659,0.95122,1.49286,0.000802,0.000802,0.000802
12,47.4352,0.58652,0.43902,0.92683,1.7466,0.0007822,0.0007822,0.0007822
13,51.275,0.60005,0.46341,0.95122,1.85648,0.0007624,0.0007624,0.0007624
14,55.2166,0.45893,0.46341,0.95122,2.40611,0.0007426,0.0007426,0.0007426
15,59.3666,0.38976,0.39024,0.95122,2.21773,0.0007228,0.0007228,0.0007228
16,63.3481,0.32099,0.46341,0.95122,1.85486,0.000703,0.000703,0.000703
17,67.1433,0.45476,0.41463,0.95122,2.26107,0.0006832,0.0006832,0.0006832
18,71.5482,0.29806,0.39024,0.95122,2.18636,0.0006634,0.0006634,0.0006634
19,75.3565,0.23815,0.39024,0.95122,2.30631,0.0006436,0.0006436,0.0006436
20,79.1865,0.30402,0.39024,0.95122,2.51979,0.0006238,0.0006238,0.0006238
21,82.9212,0.33379,0.36585,0.95122,2.96366,0.000604,0.000604,0.000604
22,86.7225,0.2635,0.34146,0.95122,3.01497,0.0005842,0.0005842,0.0005842
23,90.7759,0.25018,0.36585,0.95122,2.97124,0.0005644,0.0005644,0.0005644
24,94.5922,0.27861,0.39024,0.92683,2.66017,0.0005446,0.0005446,0.0005446
25,98.3267,0.27289,0.34146,0.92683,3.17734,0.0005248,0.0005248,0.0005248
26,102.165,0.3719,0.41463,0.92683,2.96117,0.000505,0.000505,0.000505
27,106.072,0.28938,0.39024,0.92683,2.43548,0.0004852,0.0004852,0.0004852
28,109.748,0.24051,0.34146,0.92683,3.07106,0.0004654,0.0004654,0.0004654
29,113.639,0.15867,0.36585,0.92683,2.57326,0.0004456,0.0004456,0.0004456
30,117.432,0.21801,0.39024,0.92683,3.04323,0.0004258,0.0004258,0.0004258
31,121.29,0.32665,0.39024,0.92683,3.25281,0.000406,0.000406,0.000406
32,124.979,0.26651,0.41463,0.92683,2.56717,0.0003862,0.0003862,0.0003862
33,128.779,0.36414,0.41463,0.95122,2.805,0.0003664,0.0003664,0.0003664
34,132.682,0.18544,0.41463,0.95122,2.56495,0.0003466,0.0003466,0.0003466
35,136.553,0.1805,0.41463,0.95122,2.93856,0.0003268,0.0003268,0.0003268
36,140.461,0.21341,0.41463,0.95122,2.78593,0.000307,0.000307,0.000307
37,144.258,0.21891,0.41463,0.95122,3.15044,0.0002872,0.0002872,0.0002872
38,148.083,0.21245,0.39024,0.92683,3.11025,0.0002674,0.0002674,0.0002674
39,151.906,0.18149,0.39024,0.92683,2.98456,0.0002476,0.0002476,0.0002476
40,155.644,0.1142,0.39024,0.92683,3.49762,0.0002278,0.0002278,0.0002278
41,159.488,0.34354,0.36585,0.92683,3.54783,0.000208,0.000208,0.000208
42,163.229,0.16155,0.39024,0.92683,3.56209,0.0001882,0.0001882,0.0001882
43,166.933,0.22045,0.39024,0.92683,2.55454,0.0001684,0.0001684,0.0001684
44,170.647,0.25668,0.39024,0.90244,3.49077,0.0001486,0.0001486,0.0001486
45,174.574,0.16455,0.41463,0.92683,2.97773,0.0001288,0.0001288,0.0001288
46,178.27,0.14214,0.41463,0.92683,2.39988,0.000109,0.000109,0.000109
47,182.071,0.18798,0.39024,0.92683,2.71015,8.92e-05,8.92e-05,8.92e-05
48,185.864,0.20835,0.39024,0.92683,2.81126,6.94e-05,6.94e-05,6.94e-05
49,189.553,0.35067,0.39024,0.92683,3.52138,4.96e-05,4.96e-05,4.96e-05
50,193.609,0.14253,0.39024,0.92683,2.82479,2.98e-05,2.98e-05,2.98e-05
