epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1003.67,1.3924,0.96548,1.19772,0.784,0.87829,0.89175,0.5154,1.51856,1.06186,1.36102,0.0016634,0.0016634,0.0016634
19,1061.66,1.36319,0.94797,1.20162,0.82615,0.87538,0.92937,0.54445,1.48276,0.90798,1.31377,0.0016436,0.0016436,0.0016436
20,1118.67,1.3449,0.95054,1.19847,0.86276,0.84868,0.91871,0.54126,1.50214,0.93789,1.32232,0.0016238,0.0016238,0.0016238
21,1176.63,1.36713,0.90444,1.20348,0.82913,0.85855,0.91245,0.50931,1.53119,0.93195,1.32683,0.001604,0.001604,0.001604
22,1234.48,1.37804,0.96448,1.20149,0.79409,0.90072,0.89976,0.50992,1.56479,1.00255,1.38212,0.0015842,0.0015842,0.0015842
23,1293.3,1.37755,0.91405,1.19034,0.78288,0.88158,0.89207,0.53379,1.46684,1.06277,1.2902,0.0015644,0.0015644,0.0015644
24,1350.43,1.36421,0.90123,1.19072,0.76909,0.85855,0.8967,0.52749,1.51488,0.95398,1.31808,0.0015446,0.0015446,0.0015446
25,1408.56,1.36707,0.90948,1.20467,0.82222,0.84211,0.89881,0.52475,1.51245,0.96765,1.33951,0.0015248,0.0015248,0.0015248
26,1466.9,1.333,0.92479,1.18833,0.74826,0.87996,0.89196,0.52226,1.5088,0.94482,1.3342,0.001505,0.001505,0.001505
27,1525.19,1.33676,0.9106,1.16063,0.72593,0.88158,0.87282,0.49817,1.48685,1.11996,1.29672,0.0014852,0.0014852,0.0014852
28,1582.82,1.31954,0.86423,1.16421,0.77344,0.84224,0.88622,0.4871,1.60621,0.97409,1.39725,0.0014654,0.0014654,0.0014654
29,1640.43,1.33914,0.87019,1.18234,0.82386,0.84539,0.91266,0.53918,1.47997,0.86404,1.29734,0.0014456,0.0014456,0.0014456
30,1697.54,1.31649,0.8384,1.16532,0.8068,0.87916,0.89646,0.52696,1.4916,0.87447,1.3121,0.0014258,0.0014258,0.0014258
31,1755.39,1.32536,0.83019,1.17552,0.80808,0.86842,0.91393,0.53007,1.513,0.87205,1.30148,0.001406,0.001406,0.001406
32,1813.94,1.30223,0.82286,1.1671,0.84999,0.85742,0.92273,0.54605,1.4629,0.82559,1.28629,0.0013862,0.0013862,0.0013862
33,1871.57,1.25667,0.79555,1.13369,0.81871,0.89145,0.92096,0.53527,1.46372,0.88364,1.32236,0.0013664,0.0013664,0.0013664
34,1929.27,1.28251,0.81466,1.1543,0.82412,0.85855,0.92333,0.55302,1.48057,0.83133,1.31749,0.0013466,0.0013466,0.0013466
35,1987.87,1.33978,0.81257,1.15773,0.81443,0.88063,0.92382,0.53833,1.521,0.88227,1.32687,0.0013268,0.0013268,0.0013268
36,2046.24,1.34519,0.82797,1.16874,0.79786,0.90889,0.92484,0.55493,1.46211,0.82142,1.27929,0.001307,0.001307,0.001307
37,2104.62,1.30137,0.80307,1.16474,0.82909,0.86842,0.91185,0.54231,1.48057,0.84542,1.31342,0.0012872,0.0012872,0.0012872
38,2163.39,1.32988,0.80313,1.16076,0.79226,0.91118,0.9128,0.56215,1.41803,0.80477,1.26508,0.0012674,0.0012674,0.0012674
39,2221.07,1.25784,0.77717,1.14884,0.78782,0.8794,0.91185,0.55419,1.44929,0.80661,1.27939,0.0012476,0.0012476,0.0012476
40,2277.87,1.2409,0.78618,1.1416,0.83012,0.88408,0.91389,0.54963,1.42139,0.76897,1.27556,0.0012278,0.0012278,0.0012278
41,2335.26,1.24028,0.76703,1.15224,0.76552,0.89137,0.91453,0.54573,1.45243,0.82183,1.30779,0.001208,0.001208,0.001208
42,2391.67,1.28653,0.77774,1.16916,0.82116,0.89803,0.92315,0.5473,1.49906,0.81338,1.33765,0.0011882,0.0011882,0.0011882
43,2449.51,1.24662,0.75452,1.14344,0.84568,0.86527,0.93029,0.54923,1.52758,0.80135,1.34304,0.0011684,0.0011684,0.0011684
44,2505.78,1.2705,0.7621,1.14468,0.81598,0.875,0.91746,0.55989,1.4117,0.82284,1.28281,0.0011486,0.0011486,0.0011486
45,2562.29,1.28435,0.753,1.12854,0.82622,0.86184,0.92842,0.55291,1.46718,0.78522,1.31257,0.0011288,0.0011288,0.0011288
46,2618.54,1.24602,0.73425,1.13497,0.83674,0.84295,0.91764,0.5679,1.38741,0.77135,1.24743,0.001109,0.001109,0.001109
47,2674.79,1.2406,0.71745,1.14688,0.8168,0.88487,0.91226,0.55658,1.44737,0.82937,1.28663,0.0010892,0.0010892,0.0010892
48,2731.81,1.22958,0.72236,1.13082,0.80541,0.89862,0.92109,0.56054,1.46738,0.80768,1.2876,0.0010694,0.0010694,0.0010694
49,2810.23,1.24357,0.71383,1.13795,0.81412,0.90132,0.92446,0.5551,1.45783,0.83881,1.29424,0.0010496,0.0010496,0.0010496
50,2881.93,1.28164,0.76855,1.14061,0.81847,0.8899,0.91549,0.54145,1.46917,0.81021,1.30694,0.0010298,0.0010298,0.0010298
51,2960.97,1.27391,0.72252,1.13756,0.84197,0.87632,0.90573,0.53435,1.47489,0.84715,1.32504,0.00101,0.00101,0.00101
52,3034.6,1.25136,0.72948,1.12828,0.76829,0.91776,0.89834,0.55522,1.39777,0.8212,1.27112,0.0009902,0.0009902,0.0009902
53,3109.6,1.2137,0.7038,1.11533,0.84581,0.84808,0.92426,0.56551,1.42364,0.81816,1.29621,0.0009704,0.0009704,0.0009704
54,3182.69,1.21488,0.68386,1.13187,0.88543,0.86842,0.94156,0.57079,1.43794,0.73658,1.30082,0.0009506,0.0009506,0.0009506
55,3254.8,1.22002,0.70818,1.12494,0.86013,0.85855,0.93579,0.57359,1.44784,0.73933,1.2958,0.0009308,0.0009308,0.0009308
56,3329.59,1.1977,0.68628,1.11067,0.85651,0.86392,0.93029,0.58504,1.38578,0.74703,1.26792,0.000911,0.000911,0.000911
57,3403.96,1.18315,0.68068,1.11293,0.79952,0.93092,0.9311,0.57026,1.41491,0.72279,1.28592,0.0008912,0.0008912,0.0008912
58,3474.09,1.17106,0.68484,1.10866,0.82198,0.89145,0.92075,0.55908,1.44244,0.74854,1.30109,0.0008714,0.0008714,0.0008714
59,3542.63,1.21557,0.71365,1.14686,0.86786,0.82237,0.92018,0.56013,1.44873,0.75749,1.32157,0.0008516,0.0008516,0.0008516
60,3610.5,1.21451,0.70829,1.11216,0.8349,0.88162,0.93349,0.55271,1.47269,0.74849,1.31382,0.0008318,0.0008318,0.0008318
61,3679.95,1.16509,0.69456,1.10581,0.8383,0.90461,0.93409,0.56163,1.42771,0.74969,1.2937,0.000812,0.000812,0.000812
62,3751.88,1.17954,0.68643,1.11613,0.86486,0.84868,0.93163,0.58062,1.41262,0.73095,1.28006,0.0007922,0.0007922,0.0007922
63,3820.07,1.15768,0.67583,1.09741,0.78566,0.88487,0.9019,0.57087,1.38105,0.82215,1.2716,0.0007724,0.0007724,0.0007724
64,3888.02,1.10542,0.64365,1.10219,0.8276,0.87171,0.90521,0.5674,1.38947,0.75484,1.28395,0.0007526,0.0007526,0.0007526
65,3957.22,1.17554,0.67285,1.1203,0.80948,0.91118,0.91758,0.57407,1.38226,0.73111,1.27175,0.0007328,0.0007328,0.0007328
66,4027,1.19022,0.6912,1.13067,0.8082,0.92872,0.91401,0.56004,1.43549,0.80871,1.31259,0.000713,0.000713,0.000713
67,4127.94,1.16706,0.67105,1.101,0.86027,0.85062,0.9211,0.57176,1.399,0.72927,1.27031,0.0006932,0.0006932,0.0006932
68,4195.21,1.15558,0.67296,1.12348,0.86649,0.85394,0.9223,0.56637,1.42319,0.75192,1.28604,0.0006734,0.0006734,0.0006734
69,4261.27,1.17768,0.66846,1.11319,0.82153,0.89338,0.9113,0.56352,1.41401,0.77459,1.28319,0.0006536,0.0006536,0.0006536
70,4328.16,1.19001,0.68272,1.10318,0.81302,0.89803,0.91023,0.56203,1.42163,0.81108,1.28456,0.0006338,0.0006338,0.0006338
71,4394.02,1.15977,0.66604,1.09725,0.78828,0.93092,0.91862,0.56781,1.42075,0.75004,1.28367,0.000614,0.000614,0.000614
72,4461.27,1.15608,0.64783,1.09156,0.80581,0.90789,0.91449,0.57033,1.4095,0.75015,1.27698,0.0005942,0.0005942,0.0005942
73,4527.54,1.12659,0.63643,1.10494,0.78331,0.91118,0.91343,0.56511,1.42164,0.76395,1.28793,0.0005744,0.0005744,0.0005744
74,4594.62,1.12589,0.62703,1.09142,0.82812,0.87165,0.91677,0.56676,1.4468,0.75039,1.31053,0.0005546,0.0005546,0.0005546
75,4660.65,1.15817,0.62882,1.10368,0.83496,0.87829,0.92052,0.56511,1.44978,0.75218,1.30552,0.0005348,0.0005348,0.0005348
76,4726.96,1.14023,0.63996,1.10292,0.82005,0.89941,0.92311,0.57091,1.4439,0.7743,1.32643,0.000515,0.000515,0.000515
77,4794.82,1.12834,0.63919,1.09335,0.83893,0.89094,0.92771,0.57334,1.43362,0.74804,1.30888,0.0004952,0.0004952,0.0004952
78,4860.91,1.09932,0.59825,1.08146,0.80861,0.90789,0.91455,0.57549,1.41192,0.75349,1.30143,0.0004754,0.0004754,0.0004754
79,4927.76,1.15566,0.65375,1.10838,0.82745,0.88339,0.92169,0.58027,1.42207,0.76573,1.30024,0.0004556,0.0004556,0.0004556
80,4995.68,1.084,0.614,1.06801,0.82377,0.90722,0.92557,0.58063,1.41696,0.7271,1.29209,0.0004358,0.0004358,0.0004358
81,5064.58,1.10901,0.61011,1.07696,0.83003,0.89145,0.92179,0.58273,1.40961,0.74712,1.28805,0.000416,0.000416,0.000416
82,5131.23,1.09177,0.60899,1.08051,0.82914,0.89392,0.92788,0.58423,1.38983,0.7189,1.27373,0.0003962,0.0003962,0.0003962
83,5197.73,1.09187,0.61259,1.06828,0.83662,0.89273,0.91826,0.5711,1.42744,0.72233,1.29847,0.0003764,0.0003764,0.0003764
84,5265.48,1.07937,0.59936,1.06468,0.81914,0.89474,0.91721,0.57317,1.40806,0.75458,1.28496,0.0003566,0.0003566,0.0003566
85,5333.31,1.11253,0.60684,1.0802,0.8082,0.90789,0.91482,0.57235,1.40375,0.76978,1.28499,0.0003368,0.0003368,0.0003368
86,5399.83,1.06198,0.60137,1.06098,0.78843,0.94408,0.91239,0.57363,1.38963,0.72514,1.2758,0.000317,0.000317,0.000317
87,5466.05,1.06724,0.59957,1.06629,0.82425,0.91118,0.91926,0.56665,1.42738,0.74948,1.31116,0.0002972,0.0002972,0.0002972
88,5532.81,1.04913,0.58517,1.07628,0.80937,0.92176,0.92894,0.57873,1.40177,0.76842,1.29673,0.0002774,0.0002774,0.0002774
89,5598.91,1.04481,0.57978,1.06104,0.82256,0.91118,0.92778,0.5791,1.39445,0.7591,1.29338,0.0002576,0.0002576,0.0002576
90,5666.78,1.05454,0.57905,1.06894,0.84027,0.89474,0.91871,0.58004,1.40932,0.74547,1.30912,0.0002378,0.0002378,0.0002378
91,5734.36,1.05717,0.57745,1.04856,0.84104,0.86513,0.91166,0.57608,1.38573,0.72582,1.27615,0.000218,0.000218,0.000218
92,5800.95,1.05501,0.55555,1.05912,0.84232,0.88816,0.91371,0.57157,1.39522,0.71114,1.27787,0.0001982,0.0001982,0.0001982
93,5868.66,1.01294,0.55068,1.03093,0.82525,0.90099,0.9166,0.56153,1.42674,0.72149,1.30509,0.0001784,0.0001784,0.0001784
94,5935.74,1.00274,0.53831,1.03818,0.82603,0.90587,0.91653,0.56425,1.4049,0.73277,1.29572,0.0001586,0.0001586,0.0001586
95,6002.62,1.03329,0.54762,1.03428,0.84407,0.89474,0.91724,0.56852,1.41345,0.7241,1.29829,0.0001388,0.0001388,0.0001388
96,6069.63,1.01617,0.52824,1.04562,0.83712,0.89602,0.91948,0.57097,1.42303,0.73602,1.30826,0.000119,0.000119,0.000119
97,6136.16,1.01452,0.5418,1.04265,0.832,0.90132,0.91875,0.57431,1.40945,0.73659,1.29812,9.92e-05,9.92e-05,9.92e-05
98,6203.06,1.00516,0.53043,1.03317,0.83371,0.90789,0.91979,0.5748,1.39877,0.72976,1.28858,7.94e-05,7.94e-05,7.94e-05
99,6270,0.97974,0.52236,1.01961,0.83738,0.89777,0.9191,0.57417,1.3995,0.72366,1.2895,5.96e-05,5.96e-05,5.96e-05
100,6336.93,1.00419,0.52833,1.03315,0.83484,0.8979,0.91978,0.57653,1.40075,0.72275,1.29106,3.98e-05,3.98e-05,3.98e-05
