epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2497,1.47735,2.85561,1.36047,0.01824,0.99013,0.59516,0.32834,1.39569,2.65701,1.13756,0.00028,0.00028,0.00028
2,108.43,1.50568,1.70592,1.26029,0.87971,0.38491,0.63332,0.34029,1.47422,2.35599,1.2236,0.000574258,0.000574258,0.000574258
3,161.313,1.49831,1.33877,1.27872,0.82423,0.54276,0.64368,0.33301,1.63633,2.21376,1.46521,0.000862576,0.000862576,0.000862576
4,215.262,1.42706,1.33293,1.27758,0.79485,0.5608,0.6579,0.32565,1.51674,2.15709,1.38708,0.00114495,0.00114495,0.00114495
5,271.671,1.47458,1.25588,1.26285,0.75264,0.71711,0.75037,0.3932,1.58096,1.79175,1.39475,0.00142139,0.00142139,0.00142139
6,325.913,1.44287,1.24302,1.26151,0.70102,0.58618,0.67025,0.35558,1.61964,1.84499,1.4731,0.00169189,0.00169189,0.00169189
7,380.472,1.45205,1.26587,1.27015,0.67494,0.68983,0.68925,0.34674,1.72211,1.78049,1.59511,0.0018812,0.0018812,0.0018812
8,435.158,1.4484,1.17956,1.24897,0.72223,0.70724,0.7765,0.39515,1.81824,1.62983,1.67162,0.0018614,0.0018614,0.0018614
9,489.657,1.47626,1.15725,1.26858,0.76748,0.78947,0.83697,0.44555,1.615,1.37495,1.47975,0.0018416,0.0018416,0.0018416
10,544.363,1.44539,1.14338,1.24294,0.78094,0.80592,0.86256,0.48354,1.52473,1.26871,1.43919,0.0018218,0.0018218,0.0018218
11,598.971,1.45191,1.09229,1.23515,0.80336,0.74671,0.84083,0.47928,1.50638,1.27821,1.34027,0.001802,0.001802,0.001802
12,655.132,1.37474,1.09321,1.20245,0.79257,0.80263,0.82998,0.46621,1.50411,1.37679,1.35056,0.0017822,0.0017822,0.0017822
13,711.819,1.38251,1.03467,1.21586,0.74733,0.74915,0.81098,0.45169,1.49832,1.32926,1.35706,0.0017624,0.0017624,0.0017624
14,771.2,1.44453,1.06661,1.24419,0.7936,0.8125,0.86145,0.47925,1.53867,1.16173,1.39582,0.0017426,0.0017426,0.0017426
15,829.265,1.42778,0.99945,1.24247,0.78871,0.82268,0.88601,0.48427,1.62194,1.08228,1.437,0.0017228,0.0017228,0.0017228
16,887.012,1.40514,0.99739,1.22062,0.81905,0.84539,0.9117,0.51946,1.54649,1.12406,1.36317,0.001703,0.001703,0.001703
17,945.128,1.39618,0.96076,1.21126,0.77139,0.87687,0.87687,0.51531,1.46993,1.07605,1.3035,0.0016832,0.0016832,0.0016832
