epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82816,1.72397,2.97242,1.70833,0.02667,0.94118,0.04053,0.01777,1.60378,3.0161,1.67728,0,0,0
2,5.64639,1.77917,3.22356,1.65684,0.02667,0.94118,0.04038,0.01739,1.60575,3.01291,1.67613,1.802e-05,1.802e-05,1.802e-05
3,8.38282,1.84091,2.98431,1.83674,0.02667,0.94118,0.04079,0.01751,1.60952,3.00933,1.66288,3.208e-05,3.208e-05,3.208e-05
4,11.0516,1.60517,2.99658,1.62839,0.02667,0.94118,0.04207,0.0198,1.60384,3.00799,1.65647,4.218e-05,4.218e-05,4.218e-05
5,13.746,1.76801,3.12163,1.64281,0.02667,0.94118,0.03859,0.01869,1.58452,3.00254,1.6283,4.832e-05,4.832e-05,4.832e-05
6,16.414,1.65158,2.9169,1.59573,0.02667,0.94118,0.03873,0.01963,1.57518,2.99125,1.60238,5.05e-05,5.05e-05,5.05e-05
7,19.1062,1.67752,3.0326,1.56763,0.02833,1,0.04651,0.02339,1.56075,2.98676,1.58297,4.872e-05,4.872e-05,4.872e-05
8,21.8649,1.5108,2.84948,1.52807,0.02833,1,0.04742,0.02468,1.55637,2.98329,1.58783,4.298e-05,4.298e-05,4.298e-05
9,24.5529,1.49868,2.76099,1.59812,0.02833,1,0.05561,0.02697,1.5477,2.97786,1.57868,3.328e-05,3.328e-05,3.328e-05
10,27.2646,1.50473,2.81881,1.52148,0.02833,1,0.05674,0.02814,1.54327,2.97691,1.57417,1.962e-05,1.962e-05,1.962e-05
